technology,variable,value,unit,year,type
OCGT_large,FOM,14.1,$/kW,2040,Generation
OCGT_large,VOM,8.1,$/MWh,2040,Generation
OCGT_large,CCS,0,$/MWh,2040,Generation
OCGT_large,Fuel_low,7.9,$/GJ,2040,Generation
OCGT_large,CF_low,0.2,%,2040,Generation
OCGT_large,Fuel_high,15.8,$/GJ,2040,Generation
OCGT_large,CF_high,0.2,%,2040,Generation
OCGT_large,Economiclife,25,Years,2050,Generation
OCGT_large,Constructiontime,1.3,Years,2050,Generation
OCGT_large,Efficiency,0.33,%,2050,Generation
OCGT_large,FOM,14.1,$/kW,2050,Generation
OCGT_large,VOM,8.1,$/MWh,2050,Generation
OCGT_large,CCS,0,$/MWh,2050,Generation
OCGT_large,Fuel_low,7.9,$/GJ,2050,Generation
OCGT_large,CF_low,0.2,%,2050,Generation
OCGT_large,Fuel_high,15.8,$/GJ,2050,Generation
OCGT_large,CF_high,0.2,%,2050,Generation
OCGT_small,Economiclife,25,Years,2025,Generation
OCGT_small,Constructiontime,1.5,Years,2025,Generation
OCGT_small,Efficiency,0.36,%,2025,Generation
OCGT_small,FOM,17.4,$/kW,2025,Generation
OCGT_small,VOM,16.1,$/MWh,2025,Generation
OCGT_small,CCS,0,$/MWh,2025,Generation
OCGT_small,Fuel_low,13.5,$/GJ,2025,Generation
OCGT_small,CF_low,0.2,%,2025,Generation
OCGT_small,Fuel_high,19.8,$/GJ,2025,Generation
OCGT_small,CF_high,0.2,%,2025,Generation
OCGT_small,Economiclife,25,Years,2030,Generation
OCGT_small,Constructiontime,1.5,Years,2030,Generation
OCGT_small,Efficiency,0.36,%,2030,Generation
OCGT_small,FOM,17.4,$/kW,2030,Generation
OCGT_small,VOM,16.1,$/MWh,2030,Generation
OCGT_small,CCS,0,$/MWh,2030,Generation
OCGT_small,Fuel_low,8,$/GJ,2030,Generation
OCGT_small,CF_low,0.2,%,2030,Generation
OCGT_small,Fuel_high,14.4,$/GJ,2030,Generation
OCGT_small,CF_high,0.2,%,2030,Generation
OCGT_small,Economiclife,25,Years,2040,Generation
OCGT_small,Constructiontime,1.5,Years,2040,Generation
OCGT_small,Efficiency,0.36,%,2040,Generation
OCGT_small,FOM,17.4,$/kW,2040,Generation
OCGT_small,VOM,16.1,$/MWh,2040,Generation
OCGT_small,CCS,0,$/MWh,2040,Generation
OCGT_small,Fuel_low,7.9,$/GJ,2040,Generation
OCGT_small,CF_low,0.2,%,2040,Generation
OCGT_small,Fuel_high,15.8,$/GJ,2040,Generation
OCGT_small,CF_high,0.2,%,2040,Generation
OCGT_small,Economiclife,25,Years,2050,Generation
OCGT_small,Constructiontime,1.5,Years,2050,Generation
OCGT_small,Efficiency,0.36,%,2050,Generation
OCGT_small,FOM,17.4,$/kW,2050,Generation
OCGT_small,VOM,16.1,$/MWh,2050,Generation
OCGT_small,CCS,0,$/MWh,2050,Generation
OCGT_small,Fuel_low,7.9,$/GJ,2050,Generation
OCGT_small,CF_low,0.2,%,2050,Generation
OCGT_small,Fuel_high,15.8,$/GJ,2050,Generation
OCGT_small,CF_high,0.2,%,2050,Generation
PV,Economiclife,30,Years,2025,Generation
